Title,URL,Creator,Journal,Year,Citations,processed_text
Identification and sensitivity testing of whip smut pathogen on sugarcane to fungicideand plant extracts,https://www.scopus.com/record/display.uri?eid=2-s2.0-105000793784&origin=resultslist,Efri,Journal of Tropical Plant Pests and Diseases,2025,0,uji identifikasi sensitivitas patogen smut whip tebu fungisitas ekstrak tanam
"Institutional Analysis of Sustainable Management of the Sekampung Watershed, Lampung Province, Indonesia",https://www.scopus.com/record/display.uri?eid=2-s2.0-85216964043&origin=resultslist,Edison,Jurnal Sylva Lestari,2025,0,analisis institusional kelola lanjut provinsi lampung kampung provinsi indonesia
An Enhanced Deep Neural Network Approach for WiFi Fingerprinting-Based Multi-Floor Indoor Localization,https://www.scopus.com/record/display.uri?eid=2-s2.0-85212556433&origin=resultslist,Ayinla S.L.,IEEE Open Journal of the Communications Society,2025,0,dekat jaring saraf tingkat wifi sidik jari multi -lantai bas lokalisasi ruang
Extraction and Activity Test of Antibacterial Compounds from Limberry Leaves (Triphasia Trifolia) Against Vibrio Sp,https://www.scopus.com/record/display.uri?eid=2-s2.0-85217196607&origin=resultslist,Herdiana N.,Journal of Multidisciplinary Applied Natural Science,2025,0,ekstraksi uji aktivitas senyawa antibakteri daun limberry triphasia trifolia vibrio sp sp vibrio
The Impact of Carbon Tax Policies in Achieving the Ambitious Target of Net Zero Emissions 2060 in G20 Countries,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000052037&origin=resultslist,Wahyudi H.,International Journal of Energy Economics and Policy,2025,0,dampak bijak pajak karbon capai target ambisius emisi nol bersih 2060 negara -negara g20
Exploring Public Sentiment on Green Economy Policy: A Natural Language Processing-Based Analysis,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000159934&origin=resultslist,Putri W.R.E.,International Journal of Energy Economics and Policy,2025,0,jajah sentimen publik bijak ekonomi hijau analisis bas pemrosesan bahasa alami
"Ethnomedical Practices and Medicinal Plant Use in Tanjung and Seponjen Villages, Jambi, Indonesia",https://www.scopus.com/record/display.uri?eid=2-s2.0-86000494999&origin=resultslist,Wulandari C.,International Journal of Design and Nature and Ecodynamics,2025,0,praktik etnomedis guna tanam obat tanjung desa seponjen jambi indonesia
Digital Skills and Technology Integration Challenges in Vocational High School Teacher Learning,https://www.scopus.com/record/display.uri?eid=2-s2.0-85213021186&origin=resultslist,Riyanda A.R.,Data and Metadata,2025,0,terampil digital tantang integrasi teknologi ajar guru sekolah tengah juru
Integration of Digital Technology to E-Commerce Transactions as a Basis for Central Digital Currency Development,https://www.scopus.com/record/display.uri?eid=2-s2.0-85212191428&origin=resultslist,Wahyudi H.,International Journal of Economics and Financial Issues,2025,0,integrasi teknologi digital transaksi dagang e dasar kembang mata uang digital sentral
Synthesis of rubber seed shell-derived porous activated carbons for promising supercapacitor application,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000658056&origin=resultslist,Rustamaji H.,International Journal of Renewable Energy Development,2025,0,sintesis cangkang biji karet turun karbon aktif pori aplikasi superkapasitor janji
Application of modified Sargassum dupilcatum biomass as an eco-friendly adsorbent for removing coomassie brilliant blue and phosphate ions from solution,https://www.scopus.com/record/display.uri?eid=2-s2.0-85196732253&origin=resultslist,Buhani B.,International Journal of Environmental Science and Technology,2025,0,terap biomassa sargassum dupilcatum modifikasi adsorben ramah lingkung hilang ion coomassie biru fosfat cemerlang larut
Performance evaluation of feature extraction to improve the classification of PTM in C-glycosylation using XGBoost,https://www.scopus.com/record/display.uri?eid=2-s2.0-85216692683&origin=resultslist,Damayanti,Bulletin of Electrical Engineering and Informatics,2025,0,evaluasi kerja ekstraksi fitur tingkat klasifikasi ptm glikosilasi c xgboost
