Title,URL,Creator,Journal,Year,Citations
Identification and sensitivity testing of whip smut pathogen on sugarcane to fungicideand plant extracts,https://www.scopus.com/record/display.uri?eid=2-s2.0-105000793784&origin=resultslist,Efri,Journal of Tropical Plant Pests and Diseases,2025,0
"Institutional Analysis of Sustainable Management of the Sekampung Watershed, Lampung Province, Indonesia",https://www.scopus.com/record/display.uri?eid=2-s2.0-85216964043&origin=resultslist,Edison,Jurnal Sylva Lestari,2025,0
An Enhanced Deep Neural Network Approach for WiFi Fingerprinting-Based Multi-Floor Indoor Localization,https://www.scopus.com/record/display.uri?eid=2-s2.0-85212556433&origin=resultslist,Ayinla S.L.,IEEE Open Journal of the Communications Society,2025,0
Extraction and Activity Test of Antibacterial Compounds from Limberry Leaves (Triphasia Trifolia) Against Vibrio Sp,https://www.scopus.com/record/display.uri?eid=2-s2.0-85217196607&origin=resultslist,Herdiana N.,Journal of Multidisciplinary Applied Natural Science,2025,0
The Impact of Carbon Tax Policies in Achieving the Ambitious Target of Net Zero Emissions 2060 in G20 Countries,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000052037&origin=resultslist,Wahyudi H.,International Journal of Energy Economics and Policy,2025,0
Exploring Public Sentiment on Green Economy Policy: A Natural Language Processing-Based Analysis,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000159934&origin=resultslist,Putri W.R.E.,International Journal of Energy Economics and Policy,2025,0
"Ethnomedical Practices and Medicinal Plant Use in Tanjung and Seponjen Villages, Jambi, Indonesia",https://www.scopus.com/record/display.uri?eid=2-s2.0-86000494999&origin=resultslist,Wulandari C.,International Journal of Design and Nature and Ecodynamics,2025,0
Digital Skills and Technology Integration Challenges in Vocational High School Teacher Learning,https://www.scopus.com/record/display.uri?eid=2-s2.0-85213021186&origin=resultslist,Riyanda A.R.,Data and Metadata,2025,0
Integration of Digital Technology to E-Commerce Transactions as a Basis for Central Digital Currency Development,https://www.scopus.com/record/display.uri?eid=2-s2.0-85212191428&origin=resultslist,Wahyudi H.,International Journal of Economics and Financial Issues,2025,0
Synthesis of rubber seed shell-derived porous activated carbons for promising supercapacitor application,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000658056&origin=resultslist,Rustamaji H.,International Journal of Renewable Energy Development,2025,0
Application of modified Sargassum dupilcatum biomass as an eco-friendly adsorbent for removing coomassie brilliant blue and phosphate ions from solution,https://www.scopus.com/record/display.uri?eid=2-s2.0-85196732253&origin=resultslist,Buhani B.,International Journal of Environmental Science and Technology,2025,0
Performance evaluation of feature extraction to improve the classification of PTM in C-glycosylation using XGBoost,https://www.scopus.com/record/display.uri?eid=2-s2.0-85216692683&origin=resultslist,Damayanti,Bulletin of Electrical Engineering and Informatics,2025,0
Rule-Based Dialect of Tulang Bawang Stemmer,https://www.scopus.com/record/display.uri?eid=2-s2.0-105002282173&origin=resultslist,Abidin Z.,"ICADEIS 2025 - 2025 International Conference on Advancement in Data Science, E-learning and Informat",2025,0
Carbon Composite Derived from Spent Bleaching Earth for Rubbery Wastewater Treatment,https://www.scopus.com/record/display.uri?eid=2-s2.0-105001170257&origin=resultslist,Tamin N.F.B.,Journal of Composites Science,2025,0
The Competitiveness of the Indonesian Medium High Technology Sector: Robust Least Squares and Fully Modified Ordinary Least Squares Approach,https://www.scopus.com/record/display.uri?eid=2-s2.0-85219693190&origin=resultslist,Wahyudi H.,International Review of Management and Marketing,2025,0
Recent trends in conversion of rice straw into bioethanol: a bibliometric analysis,https://www.scopus.com/record/display.uri?eid=2-s2.0-85217240656&origin=resultslist,Sukma A.C.T.,E3S Web of Conferences,2025,0
"Mapping landslide vulnerability using subsurface rock elastic parameters: A case study of Lebong Regency, Bengkulu",https://www.scopus.com/record/display.uri?eid=2-s2.0-86000308014&origin=resultslist,Hadi A.I.,Kuwait Journal of Science,2025,0
"On the Characteristic Function of the Four-Parameter Generalized Beta of the Second Kind (GB2) Distribution and Its Approximation to the Singh-Maddala, Dagum, and Fisk Distributions",https://www.scopus.com/record/display.uri?eid=2-s2.0-85214713489&origin=resultslist,Warsono,Science and Technology Indonesia,2025,0
Discovery the intersection of performing arts in cultural tourism: a scoping review,https://www.scopus.com/record/display.uri?eid=2-s2.0-85218004713&origin=resultslist,Mazlan C.A.N.,Discover Sustainability,2025,0
"Evaluating Tourism Performance through Tourist Perceptions: A Case Study of Petengoran Mangrove Tourism in Lampung, Indonesia",https://www.scopus.com/record/display.uri?eid=2-s2.0-85212135286&origin=resultslist,Murniati K.,Jurnal Sylva Lestari,2025,0
Antibacterial activity of ethanol extract of kingkit orange (Triphasia trifolia) fruit and leaves against Escherichia coli,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000049864&origin=resultslist,Herdiana N.,Food Research,2025,0
"Analysis of the welfare gap among smallholder palm oil farmers in two scheme farming management: A case study in Lampung province, Indonesia",https://www.scopus.com/record/display.uri?eid=2-s2.0-85216732760&origin=resultslist,Lestari D.A.H.,Asian Journal of Agriculture and Rural Development,2025,0
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti-Cancer Candidate,https://www.scopus.com/record/display.uri?eid=2-s2.0-85213694577&origin=resultslist,Susianti S.,Journal of Multidisciplinary Applied Natural Science,2025,1
Construction of CeO2-decorated carboxyl functionalized graphene oxide as a durable and efficient photocatalyst for the ciprofloxacin elimination in wastewater,https://www.scopus.com/record/display.uri?eid=2-s2.0-85194071442&origin=resultslist,Kusworo T.D.,Journal of the Taiwan Institute of Chemical Engineers,2025,7
"Ultrasonic-assisted adsorption of methylene blue using shrimp shells as a low-cost adsorbent: Evaluation on the adsorption isotherm, kinetics, and thermodynamics",https://www.scopus.com/record/display.uri?eid=2-s2.0-85216507766&origin=resultslist,Misran E.,South African Journal of Chemical Engineering,2025,0
"Carbon Emission Control Mechanism: Analysing the Role of Growth of the Transportation and Warehousing Sector, GDP, and Renewable Energy Consumption",https://www.scopus.com/record/display.uri?eid=2-s2.0-85215800341&origin=resultslist,Wahyudi H.,International Journal of Energy Economics and Policy,2025,1
