Title,URL,Creator,Journal,Year,Citations,processed_text
Identification and sensitivity testing of whip smut pathogen on sugarcane to fungicideand plant extracts,https://www.scopus.com/record/display.uri?eid=2-s2.0-105000793784&origin=resultslist,Efri,Journal of Tropical Plant Pests and Diseases,2025,0,identification and sensitivity testing of whip smut pathogen on sugarcane to fungicideand plant extracts
"Institutional Analysis of Sustainable Management of the Sekampung Watershed, Lampung Province, Indonesia",https://www.scopus.com/record/display.uri?eid=2-s2.0-85216964043&origin=resultslist,Edison,Jurnal Sylva Lestari,2025,0,institutional analysis of sustainable management of the kampung watershed lampung province indonesia
An Enhanced Deep Neural Network Approach for WiFi Fingerprinting-Based Multi-Floor Indoor Localization,https://www.scopus.com/record/display.uri?eid=2-s2.0-85212556433&origin=resultslist,Ayinla S.L.,IEEE Open Journal of the Communications Society,2025,0,an enhanced deep neural network approach for wifi fingerprinting based multi floor indoor localization
Extraction and Activity Test of Antibacterial Compounds from Limberry Leaves (Triphasia Trifolia) Against Vibrio Sp,https://www.scopus.com/record/display.uri?eid=2-s2.0-85217196607&origin=resultslist,Herdiana N.,Journal of Multidisciplinary Applied Natural Science,2025,0,extraction and activity test of antibacterial compounds from limberry leaves triphasia trifolia against vibrio sp
The Impact of Carbon Tax Policies in Achieving the Ambitious Target of Net Zero Emissions 2060 in G20 Countries,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000052037&origin=resultslist,Wahyudi H.,International Journal of Energy Economics and Policy,2025,0,the impact of carbon tax policies in achieving the ambitious target of net zero emissions 2060 in g20 countries
Exploring Public Sentiment on Green Economy Policy: A Natural Language Processing-Based Analysis,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000159934&origin=resultslist,Putri W.R.E.,International Journal of Energy Economics and Policy,2025,0,exploring public sentiment on green economy policy a natural language processing based analysis
"Ethnomedical Practices and Medicinal Plant Use in Tanjung and Seponjen Villages, Jambi, Indonesia",https://www.scopus.com/record/display.uri?eid=2-s2.0-86000494999&origin=resultslist,Wulandari C.,International Journal of Design and Nature and Ecodynamics,2025,0,ethnomedical practices and medicinal plant use in tanjung and seponjen villages jambi indonesia
Digital Skills and Technology Integration Challenges in Vocational High School Teacher Learning,https://www.scopus.com/record/display.uri?eid=2-s2.0-85213021186&origin=resultslist,Riyanda A.R.,Data and Metadata,2025,0,digital skills and technology integration challenges in vocational high school teacher learning
Integration of Digital Technology to E-Commerce Transactions as a Basis for Central Digital Currency Development,https://www.scopus.com/record/display.uri?eid=2-s2.0-85212191428&origin=resultslist,Wahyudi H.,International Journal of Economics and Financial Issues,2025,0,integration of digital technology to e commerce transactions as a basis for central digital currency development
Synthesis of rubber seed shell-derived porous activated carbons for promising supercapacitor application,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000658056&origin=resultslist,Rustamaji H.,International Journal of Renewable Energy Development,2025,0,synthesis of rubber seed shell derived porous activated carbons for promising supercapacitor application
Application of modified Sargassum dupilcatum biomass as an eco-friendly adsorbent for removing coomassie brilliant blue and phosphate ions from solution,https://www.scopus.com/record/display.uri?eid=2-s2.0-85196732253&origin=resultslist,Buhani B.,International Journal of Environmental Science and Technology,2025,0,application of modified sargassum dupilcatum biomass as an eco friendly adsorbent for removing coomassie brilliant blue and phosphate ions from solution
Performance evaluation of feature extraction to improve the classification of PTM in C-glycosylation using XGBoost,https://www.scopus.com/record/display.uri?eid=2-s2.0-85216692683&origin=resultslist,Damayanti,Bulletin of Electrical Engineering and Informatics,2025,0,performance evaluation of feature extraction to improve the classification of ptm in c glycosylation using xgboost
Rule-Based Dialect of Tulang Bawang Stemmer,https://www.scopus.com/record/display.uri?eid=2-s2.0-105002282173&origin=resultslist,Abidin Z.,"ICADEIS 2025 - 2025 International Conference on Advancement in Data Science, E-learning and Informat",2025,0,rule based dialect of tulang bawang stemmer
Carbon Composite Derived from Spent Bleaching Earth for Rubbery Wastewater Treatment,https://www.scopus.com/record/display.uri?eid=2-s2.0-105001170257&origin=resultslist,Tamin N.F.B.,Journal of Composites Science,2025,0,carbon composite derived from spent bleaching earth for rubbery wastewater treatment
The Competitiveness of the Indonesian Medium High Technology Sector: Robust Least Squares and Fully Modified Ordinary Least Squares Approach,https://www.scopus.com/record/display.uri?eid=2-s2.0-85219693190&origin=resultslist,Wahyudi H.,International Review of Management and Marketing,2025,0,the competitiveness of the indonesian medium high technology sector robust least squares and fully modified ordinary least squares approach
Recent trends in conversion of rice straw into bioethanol: a bibliometric analysis,https://www.scopus.com/record/display.uri?eid=2-s2.0-85217240656&origin=resultslist,Sukma A.C.T.,E3S Web of Conferences,2025,0,recent trends in conversion of rice straw into bioethanol a bibliometric analysis
"Mapping landslide vulnerability using subsurface rock elastic parameters: A case study of Lebong Regency, Bengkulu",https://www.scopus.com/record/display.uri?eid=2-s2.0-86000308014&origin=resultslist,Hadi A.I.,Kuwait Journal of Science,2025,0,mapping landslide vulnerability using subsurface rock elastic parameters a case study of lebong regency bengkulu
"On the Characteristic Function of the Four-Parameter Generalized Beta of the Second Kind (GB2) Distribution and Its Approximation to the Singh-Maddala, Dagum, and Fisk Distributions",https://www.scopus.com/record/display.uri?eid=2-s2.0-85214713489&origin=resultslist,Warsono,Science and Technology Indonesia,2025,0,on the characteristic function of the four parameter generalized beta of the second kind gb2 distribution and its approximation to the singh maddala dagum and fisk distributions
Discovery the intersection of performing arts in cultural tourism: a scoping review,https://www.scopus.com/record/display.uri?eid=2-s2.0-85218004713&origin=resultslist,Mazlan C.A.N.,Discover Sustainability,2025,0,discovery the intersection of performing arts in cultural tourism a scoping review
"Evaluating Tourism Performance through Tourist Perceptions: A Case Study of Petengoran Mangrove Tourism in Lampung, Indonesia",https://www.scopus.com/record/display.uri?eid=2-s2.0-85212135286&origin=resultslist,Murniati K.,Jurnal Sylva Lestari,2025,0,evaluating tourism performance through tourist perceptions a case study of petengoran mangrove tourism in lampung indonesia
Antibacterial activity of ethanol extract of kingkit orange (Triphasia trifolia) fruit and leaves against Escherichia coli,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000049864&origin=resultslist,Herdiana N.,Food Research,2025,0,antibacterial activity of ethanol extract of kingkit orange triphasia trifolia fruit and leaves against escherichia coli
"Analysis of the welfare gap among smallholder palm oil farmers in two scheme farming management: A case study in Lampung province, Indonesia",https://www.scopus.com/record/display.uri?eid=2-s2.0-85216732760&origin=resultslist,Lestari D.A.H.,Asian Journal of Agriculture and Rural Development,2025,0,analysis of the welfare gap among smallholder palm oil farmers in two scheme farming management a case study in lampung province indonesia
Integrating The Network Pharmacology and Molecular Docking Confirmed with In Vitro Toxicity to Reveal Potential Mechanism of Non–Polar Fraction of Cyperus rotundus Linn as Anti-Cancer Candidate,https://www.scopus.com/record/display.uri?eid=2-s2.0-85213694577&origin=resultslist,Susianti S.,Journal of Multidisciplinary Applied Natural Science,2025,1,integrating the network pharmacology and molecular docking confirmed with in vitro toxicity to reveal potential mechanism of non polar fraction of cyperus rotundus linn as anti cancer candidate
Construction of CeO2-decorated carboxyl functionalized graphene oxide as a durable and efficient photocatalyst for the ciprofloxacin elimination in wastewater,https://www.scopus.com/record/display.uri?eid=2-s2.0-85194071442&origin=resultslist,Kusworo T.D.,Journal of the Taiwan Institute of Chemical Engineers,2025,7,construction of ceo2 decorated carboxyl functionalized graphene oxide as a durable and efficient photocatalyst for the ciprofloxacin elimination in wastewater
"Ultrasonic-assisted adsorption of methylene blue using shrimp shells as a low-cost adsorbent: Evaluation on the adsorption isotherm, kinetics, and thermodynamics",https://www.scopus.com/record/display.uri?eid=2-s2.0-85216507766&origin=resultslist,Misran E.,South African Journal of Chemical Engineering,2025,0,ultrasonic assisted adsorption of methylene blue using shrimp shells as a low cost adsorbent evaluation on the adsorption isotherm kinetics and thermodynamics
"Carbon Emission Control Mechanism: Analysing the Role of Growth of the Transportation and Warehousing Sector, GDP, and Renewable Energy Consumption",https://www.scopus.com/record/display.uri?eid=2-s2.0-85215800341&origin=resultslist,Wahyudi H.,International Journal of Energy Economics and Policy,2025,1,carbon emission control mechanism analysing the role of growth of the transportation and warehousing sector gdp and renewable energy consumption
PHYSICOMECHANICAL PROPERTIES OF BIOPLASTICS FROM KAPPA-CARRAGEENAN AND CASSAVA PEEL STARCH,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000636578&origin=resultslist,Fadhallah E.G.,Jurnal Pengolahan Hasil Perikanan Indonesia,2025,0,physicomechanical properties of bioplastics from kappa carrageenan and cassava peel starch
Pelletizing of Attapulgite/Carbon Nanocomposite From Used Bleaching Earth for Continuous Treatment of Wastewater From a Natural Rubber Factory,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000125720&origin=resultslist,Hermida L.,ASEAN Journal on Science and Technology for Development,2025,0,pelletizing of attapulgite carbon nanocomposite from used bleaching earth for continuous treatment of wastewater from a natural rubber factory
Breast Cancer Area Identification in Mammograms Using Expectation Maximization Gaussian Mixture Model,https://www.scopus.com/record/display.uri?eid=2-s2.0-85212633517&origin=resultslist,Nisa R.K.,Karbala International Journal of Modern Science,2025,0,breast cancer area identification in mammograms using expectation maximization gaussian mixture model
EXPRESSION-BASED E-WORKSHEET (EBEW): AN EFFORT TO ENHANCE STUDENT’ COMPUTATIONAL THINKING SKILLS,https://www.scopus.com/record/display.uri?eid=2-s2.0-85217797356&origin=resultslist,Herlina K.,Journal of Technology and Science Education,2025,0,expression based e worksheet ebew an effort to enhance student computational thinking skills
Pelletizing of Attapulgite/Carbon Nanocomposite From Used Bleaching Earth for Continuous Treatment of Wastewater From a Natural Rubber Factory,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000125720&origin=resultslist,Hermida L.,ASEAN Journal on Science and Technology for Development,2025,1,pelletizing of attapulgite carbon nanocomposite from used bleaching earth for continuous treatment of wastewater from a natural rubber factory
"Study of water pollution parameters in the dry and rainy seasons on the pollution index of the Mesuji River, Lampung, Indonesia",https://www.scopus.com/record/display.uri?eid=2-s2.0-85213514366&origin=resultslist,Istomi A.R.,Results in Chemistry,2025,0,study of water pollution parameters in the dry and rainy seasons on the pollution index of the mesuji river lampung indonesia
DISTRIBUTION OF SUGARCANE SHIELD SCALE (AULACASPIS TEGALENSIS) AND COCCINELLID PREDATORS AGGREGATION ON SUGARCANE PLANTS,https://www.scopus.com/record/display.uri?eid=2-s2.0-85216518422&origin=resultslist,Pramono S.,Plant Protection,2025,0,distribution of sugarcane shield scale aulacaspis tegalensis and coccinellid predators aggregation on sugarcane plants
THE IMPACT OF THE SURFACE RUNOFF COEFFICIENT (C) ON LAND UTILIZATION,https://www.scopus.com/record/display.uri?eid=2-s2.0-85217647112&origin=resultslist,Romdania Y.,Planning Malaysia,2025,0,the impact of the surface runoff coefficient c on land utilization
Properties of Indonesian short rotation coppice (Calliandra calothyrsus) biochar as a coal substitute in the steelmaking process,https://www.scopus.com/record/display.uri?eid=2-s2.0-85218711462&origin=resultslist,Wijaya B.A.,Biomass Conversion and Biorefinery,2025,0,properties of indonesian short rotation coppice calliandra calothyrsus biochar as a coal substitute in the steelmaking process
Transforming Alzheimer’s Disease Diagnosis: Implementing Vision Transformer (ViT) for MRI Images Classification,https://www.scopus.com/record/display.uri?eid=2-s2.0-85217481986&origin=resultslist,Kurniasari D.,Journal of Information and Communication Technology,2025,0,transforming alzheimer s disease diagnosis implementing vision transformer vit for mri images classification
Synthesis of rubber seed shell-derived porous activated carbons for promising supercapacitor application,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000658056&origin=resultslist,Rustamaji H.,International Journal of Renewable Energy Development,2025,0,synthesis of rubber seed shell derived porous activated carbons for promising supercapacitor application
Modeling Vector Error Correction with Exogeneous (VECMX) Variable for Analyzing Nonstationary Variable Energy Used and Gross Domestic Product (GDP),https://www.scopus.com/record/display.uri?eid=2-s2.0-85214673202&origin=resultslist,Usman M.,Science and Technology Indonesia,2025,0,modeling vector error correction with exogeneous vecmx variable for analyzing nonstationary variable energy used and gross domestic product gdp
Impact of Covid–19 and Foreign Direct Investment on Indonesia’s Economic Growth,https://www.scopus.com/record/display.uri?eid=2-s2.0-85218993194&origin=resultslist,Suparta I.W.,International Journal of Economics and Financial Issues,2025,0,impact of covid 19 and foreign direct investment on indonesia s economic growth
The effectiveness of Liu-Estimator in predicting poverty levels in Indonesia: Comparative study and application of simulation,https://www.scopus.com/record/display.uri?eid=2-s2.0-85216433813&origin=resultslist,Herawati N.,Multidisciplinary Science Journal,2025,0,the effectiveness of liu estimator in predicting poverty levels in indonesia comparative study and application of simulation
"Study of water pollution parameters in the dry and rainy seasons on the pollution index of the Mesuji River, Lampung, Indonesia",https://www.scopus.com/record/display.uri?eid=2-s2.0-85213514366&origin=resultslist,Istomi A.R.,Results in Chemistry,2025,0,study of water pollution parameters in the dry and rainy seasons on the pollution index of the mesuji river lampung indonesia
The effectiveness of Liu-Estimator in predicting poverty levels in Indonesia: Comparative study and application of simulation,https://www.scopus.com/record/display.uri?eid=2-s2.0-85216433813&origin=resultslist,Herawati N.,Multidisciplinary Science Journal,2025,0,the effectiveness of liu estimator in predicting poverty levels in indonesia comparative study and application of simulation
Discovery of potential alleles for iron (Fe) toxicity tolerance in rice: Phenotypic and genotypes analysis of doubled haploid lines,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000147563&origin=resultslist,Chrisnawati L.,Biodiversitas,2025,0,discovery of potential alleles for iron fe toxicity tolerance in rice phenotypic and genotypes analysis of doubled haploid les
Exploring Public Sentiment on Green Economy Policy: A Natural Language Processing-Based Analysis,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000159934&origin=resultslist,Putri W.R.E.,International Journal of Energy Economics and Policy,2025,0,exploring public sentiment on green economy policy a natural language processing based analysis
THE IMPACT OF THE SURFACE RUNOFF COEFFICIENT (C) ON LAND UTILIZATION,https://www.scopus.com/record/display.uri?eid=2-s2.0-85217647112&origin=resultslist,Romdania Y.,Planning Malaysia,2025,0,the impact of the surface runoff coefficient c on land utilization
Digital Skills and Technology Integration Challenges in Vocational High School Teacher Learning,https://www.scopus.com/record/display.uri?eid=2-s2.0-85213021186&origin=resultslist,Riyanda A.R.,Data and Metadata,2025,0,digital skills and technology integration challenges in vocational high school teacher learning
The Partition Dimension of Daisy Graphs and Its Barbell,https://www.scopus.com/record/display.uri?eid=2-s2.0-105002354552&origin=resultslist,Asmiati,Science and Technology Indonesia,2025,0,the partition dimension of daisy graphs and its barbell
Transforming Alzheimer’s Disease Diagnosis: Implementing Vision Transformer (ViT) for MRI Images Classification,https://www.scopus.com/record/display.uri?eid=2-s2.0-85217481986&origin=resultslist,Kurniasari D.,Journal of Information and Communication Technology,2025,0,transforming alzheimer s disease diagnosis implementing vision transformer vit for mri images classification
Performance study of Photovoltaic/Thermal (PV/T) collector with cross-cut fins,https://www.scopus.com/record/display.uri?eid=2-s2.0-105001917816&origin=resultslist,Amrizal,Journal of Physics: Conference Series,2025,0,performance study of photovoltaic thermal pv t collector with cross cut fins
The anxiety in English for foreign language speaking class: the case of university students in Lampung context,https://www.scopus.com/record/display.uri?eid=2-s2.0-85202933587&origin=resultslist,Septiawan H.,Journal of Education and Learning,2025,0,the anxiety in english for foreign language speaking class the case of university students in lampung context
Wireless Local Area Network and Analytical Hierarchy Process: Technology Acceptance Model for Increasing Use of Online Learning,https://www.scopus.com/record/display.uri?eid=2-s2.0-85197619533&origin=resultslist,Firdaus R.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025,0,wireless local area network and analytical hierarchy process technology acceptance model for increasing use of online learning
